srcLabelIx,srcLabelName,dstLabelId
661,Anthracothorax nigricollis,1054
662,Anthracothorax prevostii,1055
663,Anthracothorax veraguensis,1056
664,Anthracothorax viridigula,1057
665,Anthracothorax viridis,1058
666,Anthreptes anchietae,1060
667,Anthreptes gabonicus,1062
668,Anthreptes longuemarei,1064
669,Anthreptes malacensis,1065
670,Anthreptes orientalis,1067
671,Anthreptes rectirostris,1068
672,Anthreptes tephrolaemus,1069
673,Anthreptes reichenowi,1070
674,Anthreptes rhodolaemus,1071
675,Anthreptes seimundi,1073
676,Anthreptes simplex,1074
677,Anthropoides paradiseus,1076
678,Anthropoides virgo,1078
679,Anthus antarcticus,1081
680,Anthus australis,1082
681,Anthus berthelotii,1083
682,Anthus bogotensis,1084
683,Anthus brachyurus,1085
684,Anthus brevirostris,1086
685,Anthus caffer,1087
686,Anthus campestris,1088
687,Anthus cervinus,1089
688,Anthus chacoensis,1090
689,Anthus chii,1091
690,Hemimacronyx chloris,1092
691,Anthus cinnamomeus,1094
692,Anthus correndera,1095
693,Anthus crenatus,1096
694,Anthus furcatus,1097
695,Anthus godlewskii,1098
696,Anthus gustavi,1099
697,Anthus gutturalis,1100
698,Anthus hellmayri,1101
699,Anthus hodgsoni,1102
700,Anthus hoeschi,1103
701,Anthus japonicus,1104
702,Anthus leucophrys,1105
703,Anthus lineiventris,1106
704,Anthus lutescens,1107
705,Anthus melindae,1108
706,Anthus nattereri,1109
707,Anthus nicholsoni,1110
708,Anthus nilghiriensis,1111
709,Anthus novaeseelandiae,1112
710,Anthus nyassae,1113
711,Anthus pallidiventris,1114
712,Anthus peruvianus,1115
713,Anthus petrosus,1116
714,Anthus pratensis,1117
715,Anthus richardi,1118
716,Anthus roseatus,1119
717,Anthus rubescens,1120
718,Anthus rufulus,1121
719,Anthus similis,1122
720,Anthus sokokensis,1123
721,Anthus spinoletta,1124
722,Anthus spragueii,1125
723,Anthus sylvanus,1126
724,Anthus trivialis,1127
725,Anthus vaalensis,1128
726,Antigone antigone,1130
727,Antigone canadensis,1132
728,Antigone rubicunda,1134
729,Antigone vipio,1136
730,Chiroxiphia bokermanni,1141
731,Chiroxiphia galeata,1142
732,Antiurus maculicaudus,1144
733,Antrostomus arizonae,1145
734,Antrostomus badius,1146
735,Antrostomus carolinensis,1147
736,Antrostomus cubanensis,1148
737,Antrostomus ekmani,1149
738,Antrostomus noctitherus,1150
739,Antrostomus ridgwayi,1151
740,Antrostomus rufus,1152
741,Antrostomus salvini,1153
742,Antrostomus saturatus,1154
743,Antrostomus sericocaudatus,1155
744,Antrostomus vociferus,1156
745,Anumara forbesi,1158
746,Anumbius annumbi,1159
747,Anurogryllus arboreus,1164
748,Anurogryllus celerinictus,1165
749,Anurogryllus muticus,1166
750,Anurolimnas castaneiceps,1169
751,Anurolimnas fasciatus,1171
752,Rufirallus viridis,1173
753,Aotus azarae,1175
754,Aotus trivirgatus,1179
755,Aotus,1181
756,Apalharpactes mackloti,1182
757,Apalharpactes reinwardtii,1183
758,Apalis alticola,1184
759,Apalis binotata,1186
760,Apalis chapini,1187
761,Apalis chariessa,1188
762,Apalis chirindensis,1189
763,Apalis cinerea,1190
764,Apalis flavida,1191
765,Apalis flavocincta,1192
766,Apalis fuscigularis,1194
767,Apalis jacksoni,1196
768,Apalis karamojae,1197
769,Apalis melanocephala,1199
770,Apalis nigriceps,1200
